Problema,Maquinas,Tareas,Costo PULP,Costo VOGEL,Tiempo PULP,Tiempo VOGEL
173_(12x384),12,384,62530.0,64710.0,0.559492,0.156248
174_(12x384),12,384,61510.0,63630.0,0.636949,0.156255
175_(12x384),12,384,63030.0,64600.0,0.549252,0.188909
176_(5x512),5,512,124720.0,125810.0,0.374204,0.133379
177_(5x512),5,512,122790.0,122930.0,0.468892,0.109787
178_(5x512),5,512,125290.0,125940.0,0.568558,0.133625
179_(5x512),5,512,121670.0,122380.0,0.408774,0.129567
180_(5x512),5,512,124050.0,124570.0,0.481332,0.114228
181_(7x512),7,512,106790.0,107830.0,0.449597,0.182717
182_(7x512),7,512,109410.0,109920.0,0.487144,0.140616
183_(7x512),7,512,102390.0,103200.0,0.468509,0.140626
184_(7x512),7,512,107640.0,108900.0,0.499552,0.135808
185_(7x512),7,512,101020.0,102620.0,0.647609,0.138386
186_(9x512),9,512,95110.0,95860.0,0.575444,0.189547
187_(9x512),9,512,92500.0,93900.0,0.541764,0.158602
188_(9x512),9,512,95250.0,96870.0,0.544256,0.15566
189_(9x512),9,512,92460.0,93900.0,0.592511,0.156235
190_(9x512),9,512,93510.0,94510.0,0.569787,0.156244
191_(4x24),4,24,6050.0,6080.0,0.149186,0.015623
192_(4x24),4,24,7020.0,7220.0,0.233005,0.005991
193_(4x24),4,24,5770.0,5830.0,0.118007,0.006997
194_(4x24),4,24,5760.0,6180.0,0.315019,0.005998
195_(4x24),4,24,8270.0,8350.0,0.130542,0.00598
196_(6x24),6,24,4740.0,5530.0,0.158998,0.006994
197_(6x24),6,24,4900.0,4950.0,0.127422,0.013
198_(6x24),6,24,5630.0,7140.0,0.144157,0.006996
199_(6x24),6,24,4790.0,5690.0,0.115339,0.005998
200_(6x24),6,24,5940.0,7180.0,0.134821,0.005993
